SecurityID,TradingTime,TradePx,TradeAmount,TradeValue,OrderNo,OfferNo,TradeNo,ChannelCode,SBMark,SerialNo,SendingTime
600519,20230320093000560,1752.0,200,350400.0,220963,225104,32388,6,S,262345,20230320092931
600519,20230320093000560,1752.0,100,175200.0,220963,225299,32450,6,S,262570,20230320092931
600519,20230320093000560,1752.0,100,175200.0,220963,226156,32733,6,S,263646,20230320092931
600519,20230320093000720,1752.0,100,175200.0,220963,226654,32901,6,S,264268,20230320092931
600519,20230320093000980,1752.0,200,350400.0,220963,227778,33414,6,S,265726,20230320092931
600519,20230320093001110,1752.0,100,175200.0,220963,228003,33508,6,S,266010,20230320092931
600519,20230320093001120,1752.79,100,175279.0,228121,225271,33551,6,B,266158,20230320092931
600519,20230320093001210,1752.0,100,175200.0,220963,229232,33964,6,S,267496,20230320092931
600519,20230320093001210,1752.0,100,175200.0,220963,229367,34000,6,S,267644,20230320092931
600519,20230320093001210,1752.0,100,175200.0,220963,229444,34047,6,S,267749,20230320092931
600519,20230320093001210,1752.0,100,175200.0,220963,229650,34125,6,S,267991,20230320092931
600519,20230320093001210,1752.0,200,350400.0,220963,229740,34164,6,S,268106,20230320092931
600519,20230320093001210,1752.0,100,175200.0,220963,229920,34235,6,S,268336,20230320092931
600519,20230320093001290,1752.0,300,525600.0,220963,230163,34341,6,S,268637,20230320093001
600519,20230320093001290,1752.0,100,175200.0,225399,230163,34342,6,S,268638,20230320093001
600519,20230320093001290,1751.8,100,175180.0,222825,230163,34343,6,S,268639,20230320093001
600519,20230320093001420,1751.51,100,175151.0,229991,232455,35132,6,S,271373,20230320093001
600519,20230320093001420,1755.0,100,175500.0,232668,27667,35221,6,B,271633,20230320093001
600519,20230320093001420,1755.0,100,175500.0,232668,113940,35222,6,B,271634,20230320093001
600519,20230320093001420,1755.0,100,175500.0,233280,180429,35461,6,B,272349,20230320093001
600519,20230320093001580,1753.85,100,175385.0,233662,233493,35607,6,B,272825,20230320093001
600519,20230320093001580,1751.8,100,175180.0,234530,234641,35960,6,S,274007,20230320093001
600519,20230320093001720,1751.5,100,175150.0,219922,235267,36275,6,S,274847,20230320093001
600519,20230320093001870,1751.5,200,350300.0,219922,237154,37067,6,S,277216,20230320093001
600519,20230320093001870,1751.01,100,175101.0,229943,237154,37068,6,S,277217,20230320093001
600519,20230320093001870,1751.0,100,175100.0,199870,237739,37296,6,S,277943,20230320093001
600519,20230320093001870,1751.0,100,175100.0,199870,237746,37297,6,S,277951,20230320093001
600519,20230320093001870,1751.0,100,175100.0,199870,238197,37542,6,S,278558,20230320093001
600519,20230320093002010,1751.0,100,175100.0,199870,240026,38275,6,S,280881,20230320093001
600519,20230320093002170,1751.78,100,175178.0,240939,234641,38612,6,B,282008,20230320093001
600519,20230320093002170,1751.0,100,175100.0,199870,241350,38739,6,S,282472,20230320093001
600519,20230320093002170,1751.0,500,875500.0,199870,241479,38779,6,S,282614,20230320093001
600519,20230320093002170,1751.0,100,175100.0,199870,241813,38873,6,S,282985,20230320093001
600519,20230320093002340,1751.78,400,700712.0,244392,234641,39881,6,B,286227,20230320093001
600519,20230320093002480,1751.78,100,175178.0,244742,234641,40056,6,B,286694,20230320093001
600519,20230320093002480,1751.78,400,700712.0,244943,234641,40190,6,B,286993,20230320093001
600519,20230320093002640,1751.01,100,175101.0,243212,246665,40689,6,S,288990,20230320093001
600519,20230320093002640,1751.78,100,175178.0,246721,234641,40702,6,B,289053,20230320093001
600519,20230320093002640,1751.0,100,175100.0,199870,247030,40781,6,S,289415,20230320093001
600519,20230320093002640,1751.78,100,175178.0,247053,234641,40786,6,B,289443,20230320093001
600519,20230320093002640,1751.78,100,175178.0,247202,234641,40830,6,B,289614,20230320093001
600519,20230320093002640,1751.0,100,175100.0,199870,247292,40855,6,S,289721,20230320093001
600519,20230320093002910,1751.5,100,175150.0,249930,250549,41939,6,S,293602,20230320093001
600519,20230320093002910,1751.0,100,175100.0,199870,251519,42267,6,S,294771,20230320093001
600519,20230320093003060,1751.0,100,175100.0,199870,252505,42530,6,S,295889,20230320093001
600519,20230320093003140,1751.0,100,175100.0,199870,253763,42936,6,S,297381,20230320093004
600519,20230320093003430,1751.01,100,175101.0,255759,258087,44798,6,S,302891,20230320093004
600519,20230320093003430,1751.0,300,525300.0,199870,258087,44799,6,S,302892,20230320093004
600519,20230320093003720,1751.78,100,175178.0,260309,234641,45489,6,B,305509,20230320093004
600519,20230320093003720,1751.01,100,175101.0,258991,260852,45663,6,S,306139,20230320093004
600519,20230320093003720,1751.0,100,175100.0,199870,260876,45666,6,S,306165,20230320093004
600519,20230320093003720,1751.0,100,175100.0,199870,260894,45669,6,S,306184,20230320093004
600519,20230320093003720,1751.0,300,525300.0,199870,261465,45826,6,S,306851,20230320093004
600519,20230320093003860,1751.0,115,201365.0,199870,262512,46230,6,S,308103,20230320093004
600519,20230320093003860,1751.0,85,148835.0,206178,262512,46231,6,S,308104,20230320093004
600519,20230320093003860,1751.0,15,26265.0,206178,262701,46304,6,S,308321,20230320093004
600519,20230320093003860,1751.0,85,148835.0,220180,262701,46305,6,S,308322,20230320093004
600519,20230320093004160,1751.0,600,1050600.0,220180,265890,47413,6,S,312129,20230320093004
600519,20230320093004160,1751.78,100,175178.0,266302,234641,47547,6,B,312616,20230320093004
600519,20230320093004160,1751.79,100,175179.0,266602,259902,47639,6,B,312951,20230320093004
600519,20230320093004160,1751.78,100,175178.0,266445,266634,47657,6,S,312992,20230320093004
600519,20230320093004160,1751.0,100,175100.0,220180,266634,47658,6,S,312993,20230320093004
600519,20230320093004630,1751.78,100,175178.0,266649,272313,49720,6,S,319999,20230320093004
600519,20230320093004770,1751.0,100,175100.0,220180,273173,50031,6,S,321060,20230320093004
600519,20230320093004770,1751.0,100,175100.0,220180,273408,50141,6,S,321375,20230320093004
600519,20230320093004770,1751.0,15,26265.0,220180,274177,50429,6,S,322314,20230320093004
600519,20230320093004770,1751.0,85,148835.0,226146,274177,50430,6,S,322315,20230320093004
600519,20230320093005070,1751.79,100,175179.0,277481,264502,51639,6,B,326469,20230320093004
600519,20230320093005070,1751.8,100,175180.0,277481,248277,51640,6,B,326470,20230320093004
600519,20230320093005070,1751.85,42,73577.7,277481,277576,51682,6,S,326588,20230320093004
600519,20230320093005200,1751.85,100,175185.0,277481,278157,51891,6,S,327286,20230320093007
600519,20230320093005200,1751.85,100,175185.0,277481,279684,52514,6,S,329184,20230320093007
600519,20230320093005330,1751.85,100,175185.0,277481,281003,53027,6,S,330809,20230320093007
600519,20230320093005630,1751.85,358,627162.3,277481,283828,54123,6,S,334287,20230320093007
600519,20230320093005630,1751.2,100,175120.0,279992,283828,54124,6,S,334288,20230320093007
600519,20230320093005630,1751.0,15,26265.0,226146,283828,54125,6,S,334289,20230320093007
600519,20230320093005630,1751.0,100,175100.0,249898,283828,54126,6,S,334290,20230320093007
600519,20230320093005630,1751.0,100,175100.0,277483,283828,54127,6,S,334291,20230320093007
600519,20230320093005780,1751.0,127,222377.0,286065,283828,55090,6,B,337153,20230320093007
600519,20230320093005780,1751.0,73,127823.0,286065,284914,55091,6,B,337154,20230320093007
600519,20230320093005780,1751.0,27,47277.0,286628,284914,55453,6,B,337997,20230320093007
600519,20230320093005780,1751.5,100,175150.0,286628,286602,55454,6,B,337998,20230320093007
600519,20230320093005780,1751.78,73,127879.94,286628,286230,55455,6,B,337999,20230320093007
600519,20230320093005940,1751.5,100,175150.0,288565,287071,56320,6,B,340517,20230320093007
600519,20230320093006080,1751.5,100,175150.0,289551,288564,56666,6,B,341662,20230320093007
600519,20230320093006080,1751.6,100,175160.0,289551,288526,56667,6,B,341663,20230320093007
600519,20230320093006080,1751.78,27,47298.06,289551,286230,56668,6,B,341664,20230320093007
600519,20230320093006080,1751.8,300,525540.0,289551,285746,56669,6,B,341665,20230320093007
600519,20230320093006080,1751.82,100,175182.0,289551,289576,56681,6,S,341697,20230320093007
600519,20230320093006080,1751.82,273,478246.86,289551,290898,57187,6,S,343328,20230320093007
